40.7284996,-73.9485223833,2010-08-30T20:10:37+01
40.7269073583,-73.9916229151,2010-03-13T03:28:32Z
40.7126083926,-73.9568261871,2010-02-27T19:31:58Z
40.7147426115,-73.943490833,2010-02-25T00:44:17Z
40.72419245,-73.9507600833,2010-02-21T22:58:19Z
40.7284996,-73.9485223833,2010-02-21T21:34:14Z
40.7142815709,-73.9632908085,2010-02-15T20:38:29Z
40.71816962,-73.94737428,2010-01-24T02:39:30Z
40.7657915879,-73.9872660412,2010-01-23T00:41:10Z
40.7365143833,-73.9868755833,2010-01-22T18:37:55Z
40.7142296167,-73.9554185833,2010-01-21T18:18:51Z
40.72121385,-73.9406308333,2010-01-20T18:24:06Z
40.7146195949,-73.9441792896,2010-01-19T21:17:01Z
40.7206354031,-73.9843063423,2010-01-18T19:01:12Z
40.6756762829,-74.0004730771,2010-01-17T22:58:31Z
40.7146195949,-73.9441792896,2010-01-16T16:39:36Z
40.7104890667,-73.9654097833,2010-01-15T17:33:44Z
40.6864054215,-73.9851879612,2010-01-14T17:57:38Z
40.72121385,-73.9406308333,2010-01-13T17:29:02Z
40.7405398781,-74.0057506218,2010-01-12T03:16:40Z
40.740534663,-74.005998373,2010-01-12T01:26:25Z
40.7147426115,-73.943490833,2010-01-10T17:23:07Z
40.7146195949,-73.9441792896,2010-01-09T16:30:48Z
40.7133621734,-73.951420784,2010-01-09T00:48:06Z
40.6864054215,-73.9851879612,2010-01-07T18:56:58Z
40.7223179167,-73.9833465167,2010-01-06T20:08:32Z
40.73568255,-74.0018915,2010-01-06T01:59:26Z
40.7560916486,-73.9902591705,2010-01-05T20:06:35Z
40.7299580618,-73.9995610714,2010-01-05T18:18:29Z
40.72121385,-73.9406308333,2010-01-04T19:30:30Z
40.7299580618,-73.9995610714,2010-01-03T18:42:13Z
40.7147426115,-73.943490833,2010-01-03T16:55:17Z
40.7458101407,-73.9882206917,2010-01-01T18:07:39Z
40.7254941667,-73.9848992167,2010-01-01T01:31:34Z
40.7197294341,-73.9580512047,2009-12-31T03:58:20Z
40.7458101407,-73.9882206917,2009-12-29T20:53:37Z
40.7458263973,-73.9882743359,2009-12-29T19:55:42Z
40.7142815709,-73.9632908085,2009-12-28T21:27:41Z
40.72121385,-73.9406308333,2009-12-23T19:41:23Z
40.7126083926,-73.9568261871,2009-12-11T02:57:12Z
40.7141997917,-73.956130743,2009-12-10T04:38:11Z
