40.7544655167,-73.9771938,2010-10-19T23:57:30+01
40.7674644764,-73.9819335938,2010-10-19T02:15:08+01
40.7292829867,-73.999118056,2010-10-19T00:43:55+01
40.72294688,-73.9888547,2010-10-17T06:05:25+01
40.7198244333,-73.9872948167,2010-10-17T04:55:03+01
40.675905688,-73.99910355,2010-10-16T18:06:34+01
40.7222420169,-73.9941644669,2010-10-15T20:39:02+01
40.72391623,-73.99612134,2010-10-15T19:03:50+01
40.7292829867,-73.999118056,2010-10-13T01:31:02+01
40.739900695,-73.993385539,2010-10-12T01:44:48+01
40.6438845363,-73.7828063965,2010-10-05T10:46:58+01
40.734039317,-73.9906990528,2010-10-04T23:46:55+01
40.6930337405,-73.9987962667,2010-10-04T14:17:41+01
40.6819496167,-73.99389305,2010-10-03T20:10:02+01
40.7221370813,-73.9876671451,2010-10-03T04:18:15+01
40.7257793384,-73.991982783,2010-10-03T03:05:25+01
40.7195870107,-73.9868685297,2010-10-03T02:28:42+01
40.7310660833,-74.0012748,2010-10-02T18:18:40+01
40.73554879,-73.9922831,2010-10-02T16:24:07+01
40.744096518,-73.984549567,2010-10-02T12:40:18+01
40.6438845363,-73.7828063965,2010-10-02T12:04:36+01
40.63947755,-73.7873357833,2010-09-08T20:50:01+01
40.6438845363,-73.7828063965,2010-09-08T20:18:03+01
40.744096518,-73.984549567,2010-09-08T17:44:56+01
40.7298930198,-73.9809250832,2010-09-08T01:46:05+01
40.73216104,-73.98577511,2010-09-08T01:10:26+01
40.744096518,-73.984549567,2010-09-07T22:41:50+01
40.72547197,-74.00566059,2010-09-07T15:06:45+01
40.744096518,-73.984549567,2010-09-06T14:30:25+01
40.6438845363,-73.7828063965,2010-09-06T13:27:36+01
