user,value
590,0.06701940035273368
470,0.016666666666666666
592,0.014566642388929352
593,0.030303030303030304
111,0.056768558951965066
595,0.056338028169014086
354,0.007692307692307693
1336,0.04081632653061224
596,0.040160642570281124
355,0.02127659574468085
1214,0.16216216216216217
476,0.025974025974025976
598,0.015384615384615385
115,0.10526315789473684
599,0.021333333333333333
237,0.011627906976744186
914,0.03325942350332594
15,0.050314465408805034
16,0.024390243902439025
1594,0.05851063829787234
1351,0.018518518518518517
1470,0.01020408163265306
0,0.035830618892508145
242,0.023255813953488372
243,0.05660377358490566
2798,0.11029411764705882
1104,0.038461538461538464
487,0.03571428571428571
1346,0.02197802197802198
124,0.029411764705882353
2434,0.017446471054718478
2555,0.125
5,0.01910828025477707
2433,0.04878048780487805
20,0.017045454545454544
21,0.07392996108949416
22,0.19491525423728814
492,0.0707070707070707
372,0.0625
373,0.008264462809917356
494,0.014492753623188406
1479,0.017241379310344827
2326,0.047619047619047616
1358,0.017857142857142856
1236,0.125
498,0.021671826625386997
378,0.28125
2329,0.044444444444444446
34,0.02586206896551724
35,0.04878048780487805
36,0.06666666666666667
39,0.045454545454545456
2221,0.125
2220,0.125
143,0.03980099502487562
1800,0.05371900826446281
1007,0.14285714285714285
1369,0.011235955056179775
1004,0.04
1365,0.029411764705882353
1807,0.25
40,0.018461538461538463
44,0.02531645569620253
3200,0.125
1263,0.08695652173913043
2350,0.03587443946188341
275,0.03468208092485549
1810,0.08695652173913043
2105,0.07547169811320754
2225,0.022988505747126436
158,0.06369426751592357
1014,0.045454545454545456
830,0.022727272727272728
1134,0.047619047619047616
1255,0.10526315789473684
1816,0.024390243902439025
716,0.037037037037037035
52,0.03773584905660377
1933,0.03359173126614987
54,0.05
3210,0.038461538461538464
1274,0.02702702702702703
2242,0.2916666666666667
281,0.009615384615384616
285,0.015625
1940,0.12745098039215685
1269,0.125
2357,0.03205128205128205
2235,0.06060606060606061
842,0.13592233009708737
601,0.05263157894736842
2233,0.0425531914893617
1708,0.1111111111111111
604,0.01962809917355372
1949,0.2
605,0.046511627906976744
1706,0.07142857142857142
62,0.020689655172413793
607,0.09174311926605505
292,0.031413612565445025
297,0.011695906432748537
2009,0.009935710111046173
298,0.05
1711,0.10948905109489052
179,0.047619047619047616
2489,0.02702702702702703
2126,0.045454545454545456
974,0.17857142857142858
2245,0.125
2805,0.050955414012738856
859,0.018292682926829267
3233,0.022222222222222223
1174,0.03924221921515562
181,0.0547945205479452
182,0.03048780487804878
1051,0.15384615384615385
184,0.02214022140221402
3229,0.04878048780487805
3108,0.03529411764705882
2810,0.019230769230769232
189,0.02564102564102564
982,0.03125
1960,0.05017921146953405
2014,0.0625
501,0.05128205128205128
2255,0.016795865633074936
868,0.1
749,0.07692307692307693
1727,0.023952095808383235
1848,0.009280742459396751
85,0.023809523809523808
88,0.027777777777777776
190,0.020202020202020204
191,0.020833333333333332
1185,0.02262443438914027
3121,0.1
1976,0.09090909090909091
991,0.08695652173913043
992,0.13333333333333333
1973,0.2857142857142857
2028,0.03404255319148936
510,0.028169014084507043
511,0.02127659574468085
513,0.09803921568627451
92,0.015151515151515152
999,0.05555555555555555
1615,0.19230769230769232
2704,0.07142857142857142
1614,0.007978723404255319
1735,0.08333333333333333
2164,0.14285714285714285
3011,0.07142857142857142
3132,0.0761904761904762
2283,0.038461538461538464
1500,0.06284153005464481
1620,0.038461538461538464
3005,0.024390243902439025
523,0.015384615384615385
887,0.06666666666666667
646,0.052083333333333336
525,0.047619047619047616
526,0.06547619047619048
527,0.017146776406035666
2718,0.044444444444444446
1747,0.10416666666666667
1867,0.05
3266,0.06060606060606061
3265,0.07692307692307693
770,0.24242424242424243
531,0.05660377358490566
1631,0.05
2048,0.020242914979757085
2169,0.021262002743484224
533,0.03773584905660377
776,0.021052631578947368
2960,0.024390243902439025
2168,0.16666666666666666
415,0.014084507042253521
416,0.013513513513513514
417,0.08333333333333333
2969,0.03773584905660377
1759,0.058823529411764705
1999,0.04633204633204633
1099,0.08
2066,0.012269938650306749
2065,0.2
662,0.10526315789473684
1522,0.14473684210526316
1763,0.1
1641,0.05
2972,0.125
1762,0.02099236641221374
304,0.036585365853658534
668,0.023255813953488372
548,0.0625
1409,0.14285714285714285
1527,0.11842105263157894
1648,0.16666666666666666
1769,0.023148148148148147
1889,0.03514376996805112
2736,0.125
3046,0.07547169811320754
1780,0.041666666666666664
2197,0.09090909090909091
3165,0.05555555555555555
2196,0.0050968399592252805
1657,0.025157232704402517
1777,0.045454545454545456
2745,0.017543859649122806
2502,0.2
313,0.011904761904761904
1651,0.047058823529411764
556,0.012987012987012988
439,0.022727272727272728
1419,0.16666666666666666
1537,0.0859375
2081,0.05755395683453238
2080,0.3
3051,0.03571428571428571
2082,0.25
682,0.08550185873605948
1546,0.08695652173913043
2514,0.05
562,0.06870229007633588
2512,0.11764705882352941
1786,0.4
1543,0.031746031746031744
